ocorrencia,task,info
2023-11-23T19:11:17.474+0000,taskinstance.py:1300,Executing <Task(PythonOperator): process_logs_dag_conexao> on 2023-11-23 18:28:08.526678+00:00
2023-11-23T19:11:17.485+0000,standard_task_runner.py:55,Started process 337 to run task
2023-11-23T19:11:17.491+0000,standard_task_runner.py:82,"Running: ['***', 'tasks', 'run', 'extrair_logs_***', 'process_logs_dag_conexao', 'manual__2023-11-23T18:28:08.526678+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/__pycache__/get_dags_inventary.py', '--cfg-path', '/tmp/tmpler7l9y3']"
2023-11-23T19:11:17.495+0000,standard_task_runner.py:83,Job 35: Subtask process_logs_dag_conexao
2023-11-23T19:11:17.566+0000,task_command.py:388,Running <TaskInstance: extrair_logs_airflow.process_logs_dag_conexao manual__2023-11-23T18:28:08.526678+00:00 [running]> on host 0d98f2b59e8b
2023-11-23T19:11:17.687+0000,taskinstance.py:1509,Exporting the following env vars:
2023-11-23T19:11:18.062+0000,python.py:177,Done. Returned value was: None
2023-11-23T19:11:18.137+0000,taskinstance.py:1323,"Marking task as SUCCESS. dag_id=extrair_logs_***, task_id=process_logs_dag_conexao, execution_date=20231123T182808, start_date=20231123T191117, end_date=20231123T191118"
2023-11-23T19:11:18.470+0000,local_task_job.py:208,Task exited with return code 0
2023-11-23T19:11:18.503+0000,taskinstance.py:2578,0 downstream tasks scheduled from follow-on schedule check
2023-11-23T19:13:34.515+0000,taskinstance.py:1083,Dependencies all met for <TaskInstance: extrair_logs_airflow.process_logs_dag_conexao manual__2023-11-23T18:28:08.526678+00:00 [queued]>
2023-11-23T19:13:34.528+0000,taskinstance.py:1083,Dependencies all met for <TaskInstance: extrair_logs_airflow.process_logs_dag_conexao manual__2023-11-23T18:28:08.526678+00:00 [queued]>
2023-11-23T19:13:34.528+0000,taskinstance.py:1279,
2023-11-23T19:13:34.528+0000,taskinstance.py:1280,Starting attempt 3 of 4
2023-11-23T19:13:34.529+0000,taskinstance.py:1281,
2023-11-23T19:13:34.549+0000,taskinstance.py:1300,Executing <Task(PythonOperator): process_logs_dag_conexao> on 2023-11-23 18:28:08.526678+00:00
2023-11-23T19:13:34.556+0000,standard_task_runner.py:55,Started process 466 to run task
2023-11-23T19:13:34.561+0000,standard_task_runner.py:82,"Running: ['***', 'tasks', 'run', 'extrair_logs_***', 'process_logs_dag_conexao', 'manual__2023-11-23T18:28:08.526678+00:00', '--job-id', '38', '--raw', '--subdir', 'DAGS_FOLDER/__pycache__/get_dags_inventary.py', '--cfg-path', '/tmp/tmpodwk8010']"
2023-11-23T19:13:34.563+0000,standard_task_runner.py:83,Job 38: Subtask process_logs_dag_conexao
2023-11-23T19:13:34.645+0000,task_command.py:388,Running <TaskInstance: extrair_logs_airflow.process_logs_dag_conexao manual__2023-11-23T18:28:08.526678+00:00 [running]> on host 0d98f2b59e8b
2023-11-23T19:13:34.736+0000,taskinstance.py:1509,Exporting the following env vars:
2023-11-23T19:13:34.994+0000,python.py:177,Done. Returned value was: None
2023-11-23T19:13:35.007+0000,taskinstance.py:1323,"Marking task as SUCCESS. dag_id=extrair_logs_***, task_id=process_logs_dag_conexao, execution_date=20231123T182808, start_date=20231123T191334, end_date=20231123T191335"
2023-11-23T19:13:35.052+0000,local_task_job.py:208,Task exited with return code 0
2023-11-23T19:13:35.075+0000,taskinstance.py:2578,0 downstream tasks scheduled from follow-on schedule check
2023-11-23T19:11:17.525+0000,taskinstance.py:1083,Dependencies all met for <TaskInstance: extrair_logs_airflow.encontrar_ocorrencias_logs_dag_conexao manual__2023-11-23T18:28:08.526678+00:00 [queued]>
2023-11-23T19:11:17.538+0000,taskinstance.py:1083,Dependencies all met for <TaskInstance: extrair_logs_airflow.encontrar_ocorrencias_logs_dag_conexao manual__2023-11-23T18:28:08.526678+00:00 [queued]>
2023-11-23T19:11:17.538+0000,taskinstance.py:1279,
2023-11-23T19:11:17.538+0000,taskinstance.py:1280,Starting attempt 1 of 2
2023-11-23T19:11:17.538+0000,taskinstance.py:1281,
2023-11-23T19:11:17.580+0000,taskinstance.py:1300,Executing <Task(PythonOperator): encontrar_ocorrencias_logs_dag_conexao> on 2023-11-23 18:28:08.526678+00:00
2023-11-23T19:11:17.586+0000,standard_task_runner.py:55,Started process 338 to run task
2023-11-23T19:11:17.590+0000,standard_task_runner.py:82,"Running: ['***', 'tasks', 'run', 'extrair_logs_***', 'encontrar_ocorrencias_logs_dag_conexao', 'manual__2023-11-23T18:28:08.526678+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/__pycache__/get_dags_inventary.py', '--cfg-path', '/tmp/tmpvgmz74sm']"
2023-11-23T19:11:17.591+0000,standard_task_runner.py:83,Job 36: Subtask encontrar_ocorrencias_logs_dag_conexao
2023-11-23T19:11:17.806+0000,task_command.py:388,Running <TaskInstance: extrair_logs_airflow.encontrar_ocorrencias_logs_dag_conexao manual__2023-11-23T18:28:08.526678+00:00 [running]> on host 0d98f2b59e8b
2023-11-23T19:11:18.913+0000,taskinstance.py:1509,Exporting the following env vars:
