,AIRFLOW_CTX_DAG_OWNER,AIRFLOW_CTX_DAG_ID,AIRFLOW_CTX_TASK_ID,AIRFLOW_CTX_EXECUTION_DATE,AIRFLOW_CTX_TRY_NUMBER,AIRFLOW_CTX_DAG_RUN_ID
140,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
141,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
142,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
143,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
144,***,extrair_logs_***,extrair_logs_dag_processor,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
145,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
146,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,2,manual__2023-11-23T16:01:59.762109+00:00
147,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
148,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
149,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
150,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,1,manual__2023-11-23T16:01:59.762109+00:00
151,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,3,manual__2023-11-23T16:01:59.762109+00:00
152,***,extrair_logs_***,extrair_logs_scheduler,2023-11-23T16:01:59.762109+00:00,4,manual__2023-11-23T16:01:59.762109+00:00
153,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,2,manual__2023-11-23T15:42:35.327402+00:00
154,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,1,manual__2023-11-23T15:42:35.327402+00:00
155,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,3,manual__2023-11-23T15:42:35.327402+00:00
156,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,2,manual__2023-11-23T15:42:35.327402+00:00
157,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,1,manual__2023-11-23T15:42:35.327402+00:00
158,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,3,manual__2023-11-23T15:42:35.327402+00:00
159,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,2,manual__2023-11-23T15:42:35.327402+00:00
160,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,1,manual__2023-11-23T15:42:35.327402+00:00
161,***,conectar_banco_dados,listar_logs,2023-11-23T15:42:35.327402+00:00,3,manual__2023-11-23T15:42:35.327402+00:00
162,***,conectar_banco_dados,extrair_logs_dag_conexao,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
163,***,conectar_banco_dados,extrair_logs_dag_processor,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
164,***,conectar_banco_dados,extrair_logs_scheduler,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
165,***,conectar_banco_dados,extrair_logs_dag_conexao,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
166,***,conectar_banco_dados,extrair_logs_dag_conexao,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
167,***,conectar_banco_dados,extrair_logs_dag_processor,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
168,***,conectar_banco_dados,extrair_logs_dag_processor,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
169,***,conectar_banco_dados,extrair_logs_scheduler,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
170,***,conectar_banco_dados,extrair_logs_scheduler,2023-11-23T15:53:30.085919+00:00,1,manual__2023-11-23T15:53:30.085919+00:00
